rec,UWA Arrest ID,Arresting officer,Date,Station,Outpost name,Location name,Detection,Crime type,Offence Loc.
571,,Kyathumba,29/07-2013,,,kidodo,,Illegal entry into a wildlife protected area,
572,,Kyathumba,29/07-2013,,,Kidodo,,Illegal entry into a wildlife protected area,
573,,Kyathumba,29/07-2013,,,Kidodo,,Illegal entry into a wildlife protected area,
574,,Kyathumba,29/07-2013,,,Kidodo,,Illegal entry into a wildlife protected area,
575,,Kyathumba,29/07-2013,,,Kidodo,,Illegal entry into a wildlife protected Area,
576,,Kyathumba,29/07-2013,,,Kidod,,Ilegal entry into a wildlife protected Area,
577,,Kyathumba,29/07-2013,,,Kidodo,,Illegal entry into a wildlife protected Area,
578,,"Ngene, Kulu",27/07-2013,,,Kyambura,,Illegal entry into a wildlife proteceted area,
579,,"Ngene,Kulu",29/07-2013,,,Kyambura,,Illegal entry into a wildlife protected area,
580,,Gordo,02/08-2013,,,Kahendero,,Illegal entry into a wildlife protected area,
581,,Gordon,02/08-2013,,,Munkuka,,Illegal entry into a wildlife protected area,
582,,Gordon,02/08-2013,,,Munkuka,,Illegal entry a wildlife protected area,
583,,Katurebe,19/07-2013,,,Kabukwiri,,Illegal entry into a wildlife protected area,
584,,"Kobwemi,Hakiri",14/08-2013,,,Omukisom,,Illegal entry into awildlife protected area,
585,,"Machati, Moses",13/08-2013,,,Katabagwe,,Possession of illegal devices capable of killing wild animals,
586,,"Machati,Moses",13/08-2013,,,Katabagwe,,Possession of illegal devices capable of killing wild animals,
587,,"Mwanji Abubakar,Kananura Vicent",02/08-2013,,,Kigerman,,Illegal entry into a wildlife protyected area,
588,,"Tumwesigye Robert,Gad",12/08-2013,,,Kasenyi,,Illegal entry into a wildlife protected area,
589,,"Moses, Embaju",16/08-2013,,,omukamata,,Illegal entry into a wildlife protected area,
590,,Besiga Moses,16/08-2013,,,Omukamata,,Illegal entry into a wildlife protected area,
591,,"Milia,Magara,Laban",14/08-2013,,,Kikonjo Kanyangeya,,Illegal entry into a wildlife protected area,
592,,"Karusu,Kicoco",19/08-2013,,,Maramagambo,,Illegal entry into a wildlief protected area,
593,,"Karusu,Kicoco",19/08-2013,,,Maramagambo,,Illegal entry into a wildlife protected area,
594,,"Karusu,Kicoco",16/08-2013,,,maramagambo,,Illegal entry into a wildlife protected area,
595,,"Karusu, Kicoco",16/08-2013,,,maramagambo,,Illegal entry into a wildlife protected area,
596,,"Obote,Twine",18/08-2013,,,Nyamusingiri,,Illegal entry into a wildlife protected area,
597,,"Kobwemi,Hakiri",18/08-2013,,,Omuruti,,Negligently straying in domestic animals into a wildlife protect,
598,,"Gordon,Zefrino",17/08-2013,,,Kahendero,,Negligently straying in domestic animals into a wildlife protect,
599,,Kirundu James,18/08-2013,,,Kikorongo,,Illegal entry into a wildlife protected area,
600,,"Asderi,Kyathumba",21/08-2013,,,Kyambura T C,,Illegal entry into a wildlife protected area,
601,,"Patience,Gadafi",22/08-2013,,,Buyindage,,Illegal entry into a wildlife protected area,
602,,"Machati,Robert",27/08-2013,,,Kararo,,Illegal entry into a wildlife protected area,
603,,"Machati,Robert",27/08-2013,,,Kararo,,Illegal enty into a wildlife protected area,
604,,"Machati,Robert",27/08-2013,,,Kararo,,Illegal entry into a wildlife protected area,
605,,"Machati,Robert",27/08-2013,,,Kararo,,Illegal entry into a wildlife protected area,
606,,"Machati, Besiga Moses",27/08-2013,,,Kabukwiri,,Illegal entry into a wildlife protected area,
607,,Kighenge Police,31/08-2013,,,Kighenge T Centre,,Possession of wildlife protected species,
608,,Kighenge police,31/08-2013,,,Kighenge T Centre,,Possession wildlife protected species,
609,,Kighenge,31/08-2013,,,Kigheng T Centre,,Possession of wildlife protected species,
610,,Kighenge police,31/08-2013,,,Kighenge,,Possession of wildlife protected species,
611,,Kighenge police,31/08-2013,,,Kighenge T Centre,,Possession of illegal devices capable of killing and disturbing ,
612,,"Kobwemi,Hakiri",30/08-2013,,,Hakapale,,Negligently permitting domestic animals into a wildlife protecte,
613,,"Kyathumba,Munanda",31/08-2013,,,Hamukungu,,Illegal entry into a wildlife protected area,
614,,Kyathumba,30/08-2013,,,Munyange,,Illegal entry into a wildlife protected area,
615,,"Kobwemi,Hakiri",30/08-2013,,,Munyanyange,,Negligently straying domestic animals into a wildlife protected ,
616,,"Obote, Gorden",03/09-2013,,,sherere,,Illegal entry into a wildlife protected area,
617,,"Wafana David, Kasozi",03/09-2013,,,Ngoma,,Illegal entry into a wildlife protected area,
618,,"Tumwesigye Robert,Gad",07/09-2013,,,Kirimbi,,Illegal entry into a wildlife protected area,
619,,"Tumwesigye Robert,Gad",07/09-2013,,,Kirirmbi,,Illegal entry into a wildlife protected area,
620,,Machati,17/09-2013,,,Mbuga-Nyakatunga,,Possession of wildlife protected species,
621,,Machati,17/09-2013,,,Nyakatunga-Mbuga,,Possession of wildlife protected species,
622,,Birungi Paul,16/09-2013,,,Rukoma,,Possession of wildlife protected species,
623,,"Linalyogha,Echeru",16/09-2013,,,Mitalingi,,Illegal entry into a wildlife protected area,
624,,"Linalyogha,Echeru",16/09-2013,,,Mitalingi,,Illegal entry into a wildlife protected area,
625,,Kirunda,15/09-2013,,,Kikorongo,,Hunting of wild animals,
626,,"Obote,Gordon",14/09-2013,,,Kanyangeya,,Illegal entry into a wildlife protected area,
627,,"Obote,Kiconco",14/09-2013,,,Kanyangaya,,Illegal entry into a wildlife protected area,
628,,Machati,11/09-2013,,,Omukitogo,,Illegal entry into a wildlife protected area,
629,,Machati,11/09-2013,,,Omukitogo,,Illegal entry into a wildlife protected area,
630,,"Machati,Francis",11/09-2013,,,Omukitogo,,Illegal entry into a wildlife protected area,
631,,"Machati,Francis",11/09-2013,,,Kitogo,,Illegal entry into a wildlife protected area,
632,,"Machati, Francis",11/09-2013,,,Kitogo,,Illegal entry into a wildlife protected area,
633,,"Machati,Francis",11/09-2013,,,Kitogo,,Illegal entry into a wildlife protected area,
634,,"Mujuni, Obero",10/09-2013,,,Kyondo,,Illegal entry into a wildlife protected area,
635,,"Obote, Gordon",10/09-2013,,,Maramagambo,,Illegal entry into a wildlife protected area,
636,,BMU Nyamusingiri,12/09-2013,,,Nyamusingiri lake,,possession of illegal devices capable of killing and disturbing ,
637,,"Wafana,Kasozi",03/09-2013,,,Ngoma,,Illegal entry into a wildlife protected area,
638,,"Obote, Gordon",09/09-2013,,,Maramagambo,,Illegal entry into a wildlife protected area,
639,,"Obote, Gordon",09/09-2013,,,maramagambo,,Illegal entry into a wildlife protecetd area,
640,,"Obote, Gordon",09/09-2013,,,Maramagambo,,Illegal entry into a wildlife protected area,
641,,"Obote,Gordon",09/09-2013,,,Maramagambo,,,
642,,"Obote,Gordon",09/09-2013,,,maramagambo,,Illegal entry into a wildlife protected area,
643,,"Gad,Tumwesigye",07/09-2013,,,Kirimbi,,un lawful possession of devices,
644,,"Gad,Tumwesigye",07/09-2013,,,Kirimbi,,un lawful entry into a wildlife protected area,
645,,"Dezi,Machati,Patience",18/09-2013,,,Omukizinga,,Un lawful entry into a wildlife protected area,
646,,"Dezi,Machati,Patience",18/09-2013,,,Kabarongo,,un lawful entry into a wildlife protected area,
647,,"Dezi ,Machati,Patience",18/09-2013,,,Kabarongo,,un lawful entry into a wildlife protected area,
648,,Birungi Paul,16/09-2013,,,Rukoma,,Possession of wildlife protected specimen,
649,,Machati,17/09-2013,,,Mbuga,,un lawful possession of wildlife protected specimen,
650,,Machati,17/09-2013,,,Mbuga,,un lawful possession of wildlife protected specimen,
651,,"Obote,Gordon,Bwambale",16/09-2013,,,Kidodo,,Un lawful entry into a wildlife protected area,
652,,"Obote,Gordon,Bwambale",16/09-2013,,,Kidodo,,Un law ful entry into a wildlife protected area,
653,,"Obote.Gordon,Bwambale",16/09-2013,,,Kidodo,,Unlawful entry into a wildlife protected area,
654,,"Obote,Gordon,Bwambale",16/09-2013,,,Kidodo,,Un lawful entry into a wildlife protected arae,
655,,"Obote, Gordo,Bwambale",16/09-2013,,,Kidodo,,Un lawful entry into a wildlife protected area,
656,,"Obote,Gordo,Bwambale",16/09-2013,,,Kidodo,,Un lawful entry into a wildlife protected area,
657,,Kinene,14/09-2013,,,Kanyangeya,,Un lawful entry into a wildlife protected area,
658,,Kinene,14/09-2013,,,Kanyangeya,,Unlawful entry into a wildlife protected arae,
659,,Kinene,14/09-2013,,,Kanyangeya,,Un lawful entry into a wildlife protected area,
660,,Mwanji,16/09-2013,,,Mitalingi,,illegal entry into a wildlife protected area,
661,,Mwawnji,16/09-2013,,,Mitalingi,,Illegal entry into a wildlife  protected area,
662,,Mwanji,16/09-2013,,,Kyabatimbo,,HUNTING OF WILDANIMALS,
663,,Mwanji,16/09-2013,,,Kyabatimbo,,possession of devices,
664,,Kirunda James,15/09-2013,,,Kikorongo,,Un law ful entry into a wildlife protected area,
665,,"Obote,Kyathumba",14/09-2013,,,Kanyangeya,,Illegal entry int a wildlife protected area,
666,,"Obote, Kyathumba",14/09-2013,,,Kanyangaya,,Illegal entry into a wildlife protected area,
667,,Mugyenyi,21/09-2013,,,Kanyangeya,,Illegal entry into a wildlife preotected area,
668,,Mugyenyi,21/09-2013,,,Kanyangeya,,ILLEGAL ENTRY INTO A WILDLIFE PROTECTED AREA,
669,,"Kicoco,Ebaju",19/09-2013,,,Nyamuhuru,,Illegal entry into a wildlife protected area,
670,,"Twinomujuni,Puis",24/09-2013,,,Kararo,,Illegal entry into a wildlief protected area,
671,,Mwanji,24/09-2013,,,Kabaka,,Illegal entry into a wildlife protected area,
672,,Gordon,25/09-2013,,,Omuruti,,Illegal entry into a wildlife protected area,
673,,Kobwemi,25/09-2013,,,Omuruti,,Negligently permitting domestic animals into a wildlife protecte,
674,,"Dezi,Patience",18/09-2013,,,Kabarongo,,Illegal entry into a wildlife protected area,
675,,"Dezi,Patience",18/09-2013,,,Kabarongo,,Illegal entry into a wildlife prtected area,
676,,Patience,18/09-2013,,,Omukizinga,,Illegal entry into  a wildlife protected area,
677,,Biryahamutima,26/09-2013,,,Nyanga,,Illegal entry into a wildlife protected area,
678,,Biryahamitima,26/09-2013,,,Nyanga,,Illegal entry into a wildlife protected area,
679,,Biryahamitima,26/09-2013,,,Nyanga,,Illegal entry into a wildlife protected area,
680,,Tumuhaire Remegio,30/09-2013,,,Nyamugasani,,Negligently permitting domestic animals into a wildlife protecte,
681,,Twine,30/09-2013,,,Hakabale,,Negligently permitting domestic animals into a wildlife protecte,
682,,Mwaka Felix,30/09-2013,,,Hakabale,,Illegal entry into a wildlife protected area,
683,,Twinomujuni,20/09-2013,,,irimya,,ILLEGAL ENTRY INTO A WILDLIFE PROTECTED AREA,
684,,twinomujuni,20/09-2013,,,Irimya,,Illegal entry into a wildlife protected area,
685,,Twinomujuni,20/09-2013,,,Irimya,,Illegel entry into a wildlife protected area,
686,,Twinomujuni,20/09-2013,,,Irimya,,Illegal entry into a wildlife protected area,
687,,Twinomujuni,20/09-2013,,,Irimya,,Illegal entry into a wildlife protected area,
688,,Twinomujuni,20/09-2013,,,Irimya,,Illegal entry into a wildlife protected area,
689,,Twinomujuni,20/09-2013,,,Irimya,,Illegal entry into a wildlife protected area,
690,,Kobwemi,20/09-2013,,,Nyamugasani,,Illegal entry into a wildlife protected area,
691,,"Turyamuha, Twinomujuni",20/09-2013,,,Busunga,,Illegal entry into a wildlife protected area,
692,,Obongo,20/09-2013,,,Hakabale,,Illegal entry intoa wildlife protected area,
693,,Turyamuha,20/09-2013,,,Hakabale,,Illegal entry into a wildlife protected area,
694,,Turyamuha,20/09-2013,,,Hakabale,,Illegal entry into a wildlife protected area,
695,,Tunomujuni,20/09-2013,,,Bususnga,,illegal entry into a wildlife protected area,
696,,"Sarah,Ahumuza,Alex",20/09-2013,,,Busunga,,Illegal entry into a wildlife protected area,
697,,"Sarah ,Alex,Ahumuza",20/09-2013,,,Bususnga,,Illegal entry into a wildlife protected area,
698,,"Sarah,Ahumuza,Alex",20/09-2013,,,Busunga,,illegal entry into a wildlife protected area,
699,,"Sarah,Alex,Ahumuza",20/09-2013,,,Busunga,,illegal entry into a wildlife protected area,
700,,"Sarah,Alex,Ahumuza",20/09-2013,,,Busunga,,illegal entry into a wildlife protected area,
701,,"Sarah,Alex,Ahumuza",20/09-2013,,,Busunga,,illegal entry into a wildlife protected area,
702,,"Sarah,Alex,Ahumuza",20/09-2013,,,Busunga,,illegal entry into a wildlife protected area,
703,,"Twine,Innocent",08/10-2013,,,Maramagambo,,Illegal entry into a wildlife protected area,
704,,"Twine,Innocent",08/10-2013,,,Maramagamboi,,Illegal entry into a wildlife protected area,
705,,"Twine, Innocent",08/10-2013,,,maramagambo,,Illegal entry into a wildlife protected area,
706,,"Twine,Innocent",08/10-2013,,,Maramagambo,,Illegal entry into a wildlife protected area,
707,,"Linalyogha,ECHERU",06/10-2013,,,l.George,,illegal entry into a wildlife protected area,
708,,,03/10-2013,,,Mbuga lake,,hunting of wild animals,
709,,"Obote,Byamugisha",03/10-2013,,,Rwenjubu,,Illegal entry into a wildlife protected area,
710,,"Obote,Byamugisha",03/10-2013,,,Rwenjubu,,Illegal entry into a wildlife protected area,
711,,"Kyathumba,Innocent,Kinene",10/10-2013,,,Kacuba,,illegal entry a wildife protected area,
712,,Kiiza James,29/08-2012,,,Along ishsha road,,Possession of wildlife specimen,
713,,Kiiza James,29/08-2012,,,Along Ishasha road,,Possession of wildlife specimen,
714,,Kiiza James,29/08-2012,,,Along Ishasha Road,,Possession of wildlife specimen,
715,,Kiiza James,29/08-2012,,,Along Ishasha road,,Possession of wildlife specimen,
716,,Kiiza James,29/08-2012,,,Along Ishasha Road,,Possession of wildlife specimen,
717,,Kiiza James,29/08-2012,,,Along katunguru road,,Possession of wildlife specimen,
718,,Achila Paul,03/09-2012,,,Lake Kikorogno,,Illegal entry,
719,,Labeja Mathew,05/09-2012,,,Rwemuhunda,,Illegal possession of devices,
720,,Labeja Mathew,05/09-2012,,,Rwemuhunda,,Possession of illegal devices,
721,,Linalyogha Andrew,06/09-2012,,,Kanyangeya,,Illegal entry,
722,,Achura Robert,12/09-2012,,,Kaborogota,,Illegal entry,
723,,Achura Robert,12/07-2012,,,Kaborogota,,Illegal entry,
724,,Twine Everest,17/09-2012,,,Nyamusingiri,,Illegal entry,
725,,Okello James,19/09-2012,,,Kiganda,,Possession of wildlife specimen,
726,,Okello James,19/09-2012,,,Kiganda,,Possession of wildlife specimen,
727,,Okello James,19/09-2012,,,Kiganda,,Possession wildlife specimen,
728,,,22/09-2012,,,Maramagambo,,Illegal devices,
729,,Okello James,27/09-2012,,,Kyakitale,,Neligently permiting domestic animals into awildlife protected a,
730,,tim Richard,30/09-2012,,,Kidodo,,Illegal entry,
731,,Otim Richard,03/10-2012,,,Kidodo,,illegal entry,
732,,Rusoke David,02/10-2012,,,Nyakandagazi,,Illegal entry,
733,,Rusoke David,02/10-2012,,,Nyakandagazi,,Illegal entry,
734,,Rusoke David,02/10-2012,,,Nyakandagazi,,Illegal entry,
735,,Otim Richard,30/09-2012,,,Kanyangeya,,Illegal entry,
736,,Tumwine Albert,09/10-2012,,,Kikonzo,,Possession of wildlife specimen,
737,,Tumwine Albert,09/10-2012,,,Kikonzo,,Possession of wildlife specimen,
738,,Tumwine Albert,09/10-2012,,,Kikonzo,,Possession of wildlife specimen,
739,,Kiizi James,13/10-2012,,,Katunguru,,Illegal entry,
740,,Kamara Koleb,22/10-2012,,,Kasenyi,,Illegal entry,
741,,Ali Bin Said,20/10-2012,,,Busunga,,illegal entry,
742,,Ali Bin Said,20/10-2012,,,Busunga,,illegal entry,
743,,Ebeno Patrick,24/10-2012,,,Bugem,,Possession of illegal devices,
744,,Kiiza James,29/10-2012,,,Katunguru park Headquarters,,illegal entry,
745,,Mahesi Kiiza John,23/10-2012,,,Bwanika,,Illegal entry,
746,,Mahesi Kiiza John,30/10-2012,,,Munkunyu s/c,,Possession of illegal devices,
747,,"Mahesi kiiza ,Kiiza james",04/11-2012,,,Karubugo,,illegal entry,
748,,"Mahesi Kiiza,Kiiza James",04/11-2012,,,Karubugu,,illega entry,
749,,"Mahesi Kiiza,Kiiza James",04/11-2012,,,Karubugu,,illegal entry,
750,,"Mahesi Kiiza,Kiiza James",04/11-2012,,,Karubugu,,Ilegal entry,
751,,"Kiiza Mahesi,Kiiza James",04/11-2012,,,Karubugu,,illegal entry,
752,,"Kiiza Mahesi,Kiiza James",04/11-2012,,,Karubugu,,Illegal entry,
753,,,04/11-2012,,,Karubugu,,Illegal entry,
754,,"Kiiza Mahesi,Kiiza James",04/11-2012,,,Karubugu,,Illegal entry,
755,,Mahesi Kiiza,04/11-2012,,,Karubugu,,Illegal entry,
756,,Kiiza James,04/11-2012,,,Karubugu,,Illegal entry,
757,,Kiiza James,04/11-2012,,,Karubugu,,ilolegal entry,
758,,Kiiza James,04/11-2012,,,Karubugu,,Illegal entry,
759,,Petience Hillary,05/11-2012,,,Karusandara,,Illegal entry,
760,,Patience Hillary,05/11-2012,,,Karusandara,,Illegal entry,
761,,AliBin Said,04/11-2012,,,Busunga,,illegal entry,
762,,"Odongo Santo,Anguzu .C.",29/04-2012,,,Nyamugasani,,illegal entry,
763,,Odongo santo & Anguzu,29/04-2012,,,Nyamugasani,,illegal entry,
764,,Kiiza James,28/04-2012,,,Rwebinyoni,,illegal entry,
765,,,29/04-2012,,,Nyamugasani,,Illegal entry into aprotected Area,
766,,,28/04-2012,,,Katwe,,Illegal entry into the protected area,
767,,Bainomugisha John Fisher,21/04-2012,,,Kahendero,,Negligently permitting domestic into awild life protected area,
768,,Thembo James & Bwambale Fana,18/04-2012,,,Nyamugasani,,Negigently permitting domestic animals into awildlife protected ,
769,,Africa Moses & Kisembo jimmy,19/04-2012,,,Kyambura,,illegal entry,
770,,Kuklu Kiriya & Tadeo,03/04-2012,,,Kikorongo-Lyamubuza,,Burning the park,
771,,Mugyerwa Benon,01/04-2012,,,Kahendero,,Negligently permitting domestic animals into awildlife protected,
772,,"Kiiza James,Angutoko Ben",01/04-2012,,,Kidodo,,Illegal entry,
773,,Kiiza James & Angutoko Ben,01/04-2012,,,Kidodo,,Illegal entry,
774,,Wafana David,01/06-2012,,,Kashaka,,illegal entry,
775,,Byamugisha George,01/06-2012,,,Kinera,,illegal entry,
776,,Wafana David,01/06-2012,,,Kinera,,illegal entry,
777,,Byamugisha George,01/07-2012,,,Kayanja,,Illegal entry,
778,,Byamumugisha George,01/07-2012,,,Kayanja,,Illegal entry,
779,,Byamugisha George,01/07-2012,,,Kayanja,,Illegal entry,
780,,"Africa, JIMMY,Kiiza,Mahesi",20/11-2012,,,kagarama,,possession of agun UG 8816-2000 WITH 116 ROUNDS,
781,,"Africa, Jimmy,Kiiza,Mahesi",20/11-2012,,,Kagarama,,possession of gun UG 8816-200 With 116,
782,,"Africa,Jimmy,Kiiza,Mahesi",20/11-2012,,,Kagarama,,"possession of agun UG 8816-200,WITH 116 ROUNDS",
783,,Mangi Jackson,20/11-2012,,,Golf,,possession of illegal devices,
784,,"Owenyo,Charles",21/11-2012,,,Kalinzo forest,,Illegal entry,
785,,"Owenyo,Charles",21/11-2012,,,Kalinzo forest,,illegal entry,
786,,"Owenyo,Charles",21/11-2012,,,Kalinzo forest,,illegal entry,
787,,Odongo Bonny,21/11-2012,,,Guruka,,Illegal entry,
798,,"Gerld,Byamugisha,Oto Betho",23/01-2012,,,Kikorongo,,illegal entry,
799,,"Gerald,George,Oto Betho",23/01-2012,,,Kikorongo,,Illegal entry,
800,,"Gerald,Byamugisha,Oto",23/01-2012,,,Kikorongo,,ilegal entry,
801,,"Olek,Kyathumba,",02/03-2012,,,Busunga,,illegal entry,
802,,kisembo jimmy,20/11-2012,,,Kyambura,,Possession of illegal devices,
803,,Obongo Bonny,25/11-2012,,,Ntungwe,,Illegal entry,
804,,"Kyathumba,Biryamutima",25/11-2012,,,Ntugwe,,Illegal entry,
805,,"Biryamutima,Kyathumba",25/11-2012,,,Ntungwe,,illegal entry,
806,,"Bwambale Alozious,Wanfna David",24/11-2012,,,Rwenshama,,Illegal entry,
807,,Odongo Bonny,25/11-2012,,,Guruka,,illegal entry,
808,,Odongo Bonny,21/11-2012,,,Guruka,,illegal entry,
809,,"Owenyo,Charles",21/11-2012,,,Kalinzo,,Illegal entry,
810,,"Owenyo,Charles",21/11-2012,,,Kalinzo,,Illegal entry,
811,,"Owenyo, Charles",21/11-2012,,,Kalinzo,,Illegal entry,
812,,Odongo Bonny,21/11-2012,,,Guruka,,Illegal entry,
813,,"Nuwagaba gordon ,Mujuni Jonas",02/03-2012,,,Busunga,,illegaL entry,
814,,"Kowa,Aggrey",02/06-2012,,,Rutokye,,illegal entry .,
815,,"Kowa,Aggrey",26/06-2012,,,Rutokye,,Illegal entry,
816,,"Kowa,Aggrey",02/06-2012,,,Rutokye,,Illegal entry,
817,,"Mujuni joas,Okiria Richard",05/06-2012,,,Kanyampara,,illegal entry,
818,,"Mahesi Kiiza,Awongo Sebi",01/05-2012,,,Lions Bay,,Illlegal devices,
819,,"Kulu,Tadeo,Johnfisher,Bob",02/05-2012,,,Kinyamaseke,,illegal entry,
820,,"Kulu,Tadeo,Johnfisher,Bob",02/05-2012,,,Kinyamaseke,,Illegal entry,
821,,"Kulu,Tadeo,Johnfisher,Bob",02/05-2012,,,Kinyamaseka,,illegal entry,
822,,"Kulu,Tadeo,Johnfisher,Bob",02/05-2012,,,Kinyamaseka,,illegal entry,
823,,"Kiiza james,Angutoko,Adiga",02/05-2012,,,Nyungu ya nyama,,illegal entry,
824,,"Kiiza james,Angutoko,Adiga",02/05-2012,,,Nyungu ya nyama,,ilegal entry,
825,,"Kiiza James,Angutoko,Adiga",02/05-2012,,,Nyungu ya nyama,,illegal entry,
826,,"Odongo Santo,Tiondi,Kiiza JAMES",02/05-2012,,,Kamulikwizi,,Illegal entry,
827,,Byamugisha George,19/02-2012,,,Kiyanga,,Ilegel entry,
828,,Ali Bin Said,19/02-2012,,,Kabukweri,,Possession of wildlife specimen,
829,,"Ali Bin Said,Mwanji Abubakari",20/02-2012,,,Muhokya,,,
830,,,20/02-2012,,,Muhokya,,,
831,,"Gerald,Tadeo",23/02-2012,,,Kasenyi road junction,,possession of wild life specimen,
832,,"Gerald,Tadeo",23/02-2012,,,Kasenyi road junction,,Possession of wildlife specimen,
833,,"Gerald,Tadeo",23/02-2012,,,Kasenyi road junction,,possession wildlife specimen,
834,,George,23/02-2012,,,Kabukweri,,illegal entry,
835,,"Kobwemi,Bob",26/02-2012,,,Karusandara,,illegal entry,
836,,Mujuni Jonas,03/04-2012,,,Knyampala,,illegal entry,
837,,Africa Moses,04/08-2012,,,Kahimbi,,possession of illegal devices,
838,,"Thembo,Fana",11/03-2012,,,Nyamugasani,,Illega entry,
839,,"Thembo,Fana",11/03-2012,,,Nyamigasani,,Illegal entry,
840,,Angutoko Ben,11/03-2012,,,Rwenjubu,,illegal entry,
841,,"Hakiri,Patience",14/03-2012,,,Kahendero,,illegal entry,
842,,Mahesi Kiiza,19/03-2012,,,Rutoto,,possession of illegal devices,
843,,Kiiza Mahesi,19/03-2012,,,Rutoto,,Possession of illegal devices,
844,,"Twinebusingye ,Komakech",22/03-2012,,,Rusese,,illegal entry,
845,,"Africa,George,Kiiza",22/03-2012,,,Katerera,,possession of illegal devics,
846,,"Africa,George,Kiiza",22/03-2012,,,Katerera,,possession of wildlife specimen,
847,,"Africa ,George,Kiiza",22/03-2012,,,Kizira,,Possession of illegal devices,
848,,"Africa,George,Kiiza",22/03-2012,,,Kizira,,Possession of wildlife protected species,
849,,"Africa ,George,Kiiza",22/03-2012,,,,,Possession of wildlife protected species,
850,,Otim Richard,27/03-2012,,,Nyamugasani,,Negligently permitting domestic animals into awildlife protected,
851,,"Thembo James,Fana",30/03-2012,,,Nyamugasani,,illegal entry,
852,,Jonas,31/03-2012,,,Kanyampara,,Negligently permitting domestic animals into awildlife protected,
853,,,02/04-2012,,,Katunguru,,possession of wldlife species,
854,,,02/04-2012,,,Katunguru,,possession of wildlife protected species,
855,,"Akampulire,Denis",04/05-2012,,,Maramagambo,,illegal entry,
856,,"Akampulire,Denis",04/05-2012,,,Maramagambo,,illegal entry,
857,,"Hakiri ,Patience",04/05-2012,,,Muhokya,,illegal entry,
858,,"Hakiri,Patience",08/04-2012,,,Kahendero,,Illegal entry,
859,,"Fana,Thembo",09/04-2012,,,Nyamugasani,,Illegal entry,
860,,Ambayo Stephen,12/04-2012,,,Nyina balongo,,Illegal entry,
861,,HaKIRI & PATIENCE,12/04-2012,,,Kidubule,,illegal entry,
862,,Hakiri  Patience,12/04-2012,,,Kidubula,,Illegal entry,
863,,Kiiza james,12/04-2012,,,Knyampara,,illegal entry,
864,,"Kiiza, Patience",12/04-2012,,,Rwebinyonyi,,Illegal entry,
865,,"Kiiza,Patience",12/04-2012,,,Rwebiny,,illegal entry,
866,,"Kiiza,Patience",12/04-2012,,,Rwebinyonyi,,Illegal entry,
867,,"Kiiza,Patience",12/04-2012,,,Rwebinyonyi,,Illegal entry,
868,,"Kiiza,Patience",12/04-2012,,,Rwebinyonyi,,Illegal entry,
869,,"Twinobusingye H,Ebeno Patrick",06/12-2012,,,Along river rubiriha,,Illegal entry into a protected area,
870,,"Katurebe Wilson,Oringi Colbert",06/12-2012,,,Kyondo,,Illegal entry,
871,,"Katurebe Wilson,Oringi Colbert",06/12-2012,,,Kyondo,,,
872,,Ebeju James,12/12-2012,,,Hubugomba,,Illegal entry,
873,,"Twine Everest,Otim John Moro",07/12-2012,,,Kyasanduka,,illegal entry,
874,,"Basusu solomon,Bwambale fana",13/12-2012,,,Karubugu,,Illegal entry,
875,,Ali Bin Said,17/12-2012,,,Busunga,,illegal entry,
876,,Ali Bin Said,17/12-2012,,,Busunga,,Illegal entry,
877,,Thembo James,21/12-2012,,,Kaleberyo,,Illegal entry,
878,,Thembo James,21/12-2012,,,Kaleberyo,,Illegal entry,
879,,Johnfisher,21/12-2012,,,Kanyangeya,,Illegal entry,
880,,"Kiiza James,Byamugisha George",27/12-2012,,,Kitabo,,ilegal entry,
881,,"Kiiza James,Byamugisha George",27/12-2012,,,Kinyateke,,Illega entry,
882,,"Kiza,Patience",12/12-2012,,,Rwebinyonyi,,Illegal entry,
883,,"Kiiza ,Patience",12/04-2012,,,Rwebinyonyi,,Illegal devices,
884,,"Kiiza,PATIENCE",12/04-2012,,,Rwebinyonyi,,Illegal entry,
885,,"Basusu,george,Otim",13/04-2012,,,Kaleberyo,,possession of hipo meat,
886,,"Basusu,George,Otime",13/04-2012,,,Kaleberyo,,illegal possession of hippo meat,
887,,"Basusu,George,Otim",13/04-2012,,,Kaleberyo,,Possession of hippo meat,
888,,"Basusu,George,Otim",13/04-2012,,,Kaleberyo,,possession of hippo meat,
889,,"Basus,George,Otim",13/04-2012,,,Kaleberyo,,possession of a hippo meat,
890,,"Basus,George,Otim",13/04-2012,,,Kaleberyo,,Possession a hippo meat,
891,,"Basus,George,Otim",13/04-2012,,,Kaleberyo,,Possession of a hippo meat,
892,,Hussein,14/04-2012,,,Kiyanga,,possession of devices,
893,,"Obedi,Denis",14/04-2012,,,Kiyanga,,Illegal entry,
894,,Johnfisher,14/04-2012,,,Busunga,,Illegal entry,
895,,"Thembo,Fana",18/04-2012,,,Nyamugasani,,Illegal entry,
896,,"Africa,Kisembo",19/04-2012,,,Kyambura,,Illegal entry,
897,,"Ewau,Wambi,Johnfisher,Bruno",19/04-2012,,,Katwe,,Possession wildlife specimen,
898,,"Odongo,Ochen",29/04-2012,,,Nyamugasani,,illegal entry,
899,,"Odongo, Ochen",29/04-2012,,,Nyamugasani,,illegal entry,
900,,"CAM,WT",29/04-2012,,,Nyamugasani,,illegal fishing,
901,,"CAM,WT",29/04-2012,,,Nyamugasani,,Illegal entry,
